Date,KO,PEP
2022-09-27,51.153175354003906,149.42913818359375
2022-09-28,51.697547912597656,151.8234405517578
2022-09-29,51.32555389404297,149.9691925048828
2022-09-30,50.82654571533203,146.9537811279297
2022-10-03,51.39814758300781,148.74501037597656
2022-10-04,51.51608657836914,150.4192657470703
2022-10-05,51.02616500854492,149.4200897216797
2022-10-06,49.92832565307617,146.5397186279297
2022-10-07,49.4565315246582,145.46856689453125
2022-10-10,49.34766387939453,145.65760803222656
2022-10-11,49.4293212890625,146.35067749023438
2022-10-12,50.028133392333984,152.4715118408203
2022-10-13,50.69045639038086,157.17015075683594
2022-10-14,49.88296890258789,153.1916046142578
2022-10-17,50.52714920043945,155.47792053222656
2022-10-18,51.20760726928711,157.5751953125
2022-10-19,50.772117614746094,156.04501342773438
2022-10-20,49.973697662353516,154.3347625732422
2022-10-21,50.772117614746094,155.77493286132812
2022-10-24,52.23285675048828,159.93350219726562
2022-10-25,53.484920501708984,160.464599609375
2022-10-26,53.884124755859375,161.18470764160156
2022-10-27,54.01114273071289,161.01365661621094
2022-10-28,55.127113342285156,164.02903747558594
2022-10-31,54.30147933959961,163.4439697265625
2022-11-01,54.1109504699707,162.7058868408203
2022-11-02,53.3578987121582,160.43759155273438
2022-11-03,53.33068084716797,160.0235137939453
2022-11-04,53.76617431640625,160.92364501953125
2022-11-07,53.974857330322266,162.21084594726562
2022-11-08,54.07465744018555,162.66087341308594
2022-11-09,53.32161331176758,160.71664428710938
2022-11-10,55.23599624633789,163.552001953125
2022-11-11,55.635196685791016,160.26657104492188
2022-11-14,55.09989929199219,159.07839965820312
2022-11-15,55.0091667175293,159.49246215820312
2022-11-16,54.90937042236328,160.51858520507812
2022-11-17,55.081748962402344,162.04881286621094
2022-11-18,55.47188949584961,163.218994140625
2022-11-21,56.324745178222656,166.36038208007812
2022-11-22,56.5697135925293,166.3783721923828
2022-11-23,56.82374954223633,166.59442138671875
2022-11-25,56.87818908691406,165.72129821777344
2022-11-28,56.887264251708984,165.52330017089844
2022-11-29,56.687660217285156,164.35311889648438
2022-11-30,58.12221145629883,166.98147583007812
2022-12-01,58.28668212890625,168.37631225585938
2022-12-02,58.79836654663086,168.1861114501953
2022-12-05,57.994293212890625,165.8583526611328
2022-12-06,57.966880798339844,164.50881958007812
2022-12-07,58.058258056640625,165.00694274902344
2022-12-08,58.30495071411133,166.45614624023438
2022-12-09,57.69275665283203,165.84024047851562
2022-12-12,58.45115661621094,166.6282196044922
2022-12-13,58.46942901611328,166.5376739501953
2022-12-14,58.46942901611328,166.0757293701172
2022-12-15,57.665348052978516,163.2589111328125
2022-12-16,57.33641052246094,163.34039306640625
2022-12-19,57.418643951416016,164.2461395263672
2022-12-20,57.37295150756836,164.1465301513672
2022-12-21,58.29582214355469,165.2967987060547
2022-12-22,57.87550735473633,164.01968383789062
2022-12-23,58.31409454345703,165.0794219970703
2022-12-27,58.67045211791992,165.81307983398438
2022-12-28,58.08565902709961,164.61749267578125
2022-12-29,58.43288040161133,164.82582092285156
2022-12-30,58.12221145629883,163.63023376464844
2023-01-03,57.5191535949707,162.4980926513672
2023-01-04,57.491737365722656,162.09954833984375
2023-01-05,56.83384704589844,160.40582275390625
2023-01-06,57.93033218383789,164.02880859375
2023-01-09,57.20848083496094,162.42559814453125
2023-01-10,56.769893646240234,161.0851287841797
2023-01-11,56.660247802734375,161.26626586914062
2023-01-12,55.92926788330078,159.21023559570312
2023-01-13,56.13028335571289,158.72116088867188
2023-01-17,56.35871887207031,159.46385192871094
2023-01-18,54.650047302246094,155.4423828125
2023-01-19,54.567813873291016,153.63998413085938
2023-01-20,54.896751403808594,153.8664093017578
2023-01-23,55.0338134765625,153.1780242919922
2023-01-24,55.32620620727539,154.6000518798828
2023-01-25,55.67341995239258,155.72315979003906
2023-01-26,55.56378173828125,154.17434692382812
2023-01-27,55.27138137817383,153.63092041015625
2023-01-30,55.408451080322266,153.5041046142578
2023-01-31,56.02976989746094,154.8989715576172
2023-02-01,56.038917541503906,155.38804626464844
2023-02-02,55.079490661621094,153.94790649414062
2023-02-03,54.66832733154297,153.1780242919922
2023-02-06,54.97898864746094,155.62356567382812
2023-02-07,54.88762283325195,155.38804626464844
2023-02-08,54.567813873291016,155.0257568359375
2023-02-09,54.4764404296875,156.49305725097656
2023-02-10,54.4764404296875,159.5906524658203
2023-02-13,55.37189483642578,161.01266479492188
2023-02-14,54.449031829833984,159.20118713378906
2023-02-15,54.449031829833984,159.4185791015625
2023-02-16,54.1109504699707,158.96568298339844
2023-02-17,54.93330764770508,159.6631317138672
2023-02-21,54.640899658203125,159.57252502441406
2023-02-22,54.80537796020508,159.51820373535156
2023-02-23,54.90589141845703,159.6902618408203
2023-02-24,54.67745590209961,159.37330627441406
2023-02-27,54.65918731689453,159.3280029296875
2023-02-28,54.37592315673828,157.17234802246094
2023-03-01,53.782005310058594,155.17971801757812
2023-03-02,54.567813873291016,158.04296875
2023-03-03,54.31196594238281,157.887939453125
2023-03-06,55.1525993347168,158.2071075439453
2023-03-07,54.83279037475586,157.4228973388672
